IDCarro;Oficina;Servico;Mecanico;DataEntrada;DataSaida;Responsavel;Obs;ValorServico
8;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;16/09/2003;16/09/2003;rostanda;foi trocado no mesmo dia a correia do alternador;50
17;AUTO ELÉTRICA DO GERALDO;conserto no limpado;geraldo;13/09/2003;13/09/2003;erlano;;30
17;REAL CAR SERVIÇOS AUTOMOTIVOS;Troca de Pneus;Toinho;13/09/2003;13/09/2003;erlano;foi trocado dois pneus dianteiros.e balanceado;217
29;MOTOSHOP VEICULOS E PEÇAS LTDA;peças diversos (motos);Toinho;13/09/2003;13/09/2003;gilberto;foi trocado tubo do acelerador.suporte da maneta.anel b tpa cg;11
30;CENTER GÁS LTDA;regulagem do gás;vicente;19/09/2003;19/09/2003;edson 1;no mesmo dia foi feito uma revisão na regulagem dos tuchos em piloto (serviço de garantia);10
2;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;20/09/2003;20/09/2003;tacio;foi cobrado de piloto 30 da mão de obra.;71.24
2;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;20/09/2003;20/09/2003;patrickon;;19.60
19;OFICINA NOSSA SENHORA DA PENHA;troca de junta homoc.;piloto;20/09/2003;20/09/2003;fabio;piloto cobrou de mão de obra 15;125
8;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;20/09/2003;20/09/2003;rostanda;foi comprado o óleo  por irenaldo valor de custo 19.60;0
8;OFICINA NOSSA SENHORA DA PENHA;troca da val.termostatica;piloto;22/09/2003;22/09/2003;rostanda;;62
13;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;20/09/2003;20/09/2003;fia;óleo comprado por irenaldo valor final 19.60;19.60
18;OFICINA NOSSA SENHORA DA PENHA;troca de junta homoc.;piloto;20/09/2003;20/09/2003;tacio;foi trocado duas juntas homoc.cabos de vela.velas no mesmo dia.
Piloto cobrou R$ 30 de mão de obra.;345
12;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;20/09/2003;20/09/2003;marcony;;0
12;AUTO ELÉTRICA DO GERALDO;revisão da parte elétrica;geraldo;20/09/2003;20/09/2003;marcony;;10
29;MOTOSHOP VEICULOS E PEÇAS LTDA;peças diversos (motos);Toinho;02/08/2003;02/08/2003;gilberto;foi trocado coroa.pinhão.borracha do pedal.óleo;55
2;JEOKAR AUTO PEÇAS LTDA.;troca de comando de seta;Toinho;13/09/2003;13/09/2003;PATRICKSON;GERALDO COBROU R$ 10 de mão de obra;65
10;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;27/09/2003;27/09/2003;arley;;13.50
10;OFICINA NOSSA SENHORA DA PENHA;serviço de cabeçote;piloto;25/09/2003;25/09/2003;arley;foi feito serviço de cabeçote devido a correia dentada ter torado faltando 5000 km da validade.piloto cobrou cem reais de mão de obra.;220
12;OFICINA NOSSA SENHORA DA PENHA;troca do trambulador;piloto;24/09/2003;24/09/2003;marcony;;100
7;OFICINA NOSSA SENHORA DA PENHA;Velas;piloto;25/09/2003;25/09/2003;sandro;não foi cobrado mão de obra p/troca as velas.;25
5;CENTER GÁS LTDA;serviço de solda;vicente;24/09/2003;24/09/2003;gutemberg;;20
5;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;27/09/2003;27/09/2003;gutemberg;o valor do óleo e R$ 19.20;13.50
5;OFICINA NOSSA SENHORA DA PENHA;troca de rolamento;piloto;27/09/2003;27/09/2003;gutemberg;o rolamento trocado foi da roda dianteira do lado esquerdo.piloto cobrou R$ de mão de obra.;70
30;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;27/09/2003;27/09/2003;edson;;13.50
18;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;27/09/2003;27/09/2003;arley;foi trocado com o instrutor tacio;38
19;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;27/09/2003;27/09/2003;fabio;foi trocado no mesmo dia a correia do alternador.mão de obra foi cobrado R$ 20;53
20;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;27/09/2003;27/09/2003;amauri;foi trocado na mesma data a coreia do alternador;53
20;REAL CAR SERVIÇOS AUTOMOTIVOS;Troca de Pneus;piloto;27/09/2003;27/09/2003;amauri;foi comprado pneu por irenaldo no valor de R$ 105 foi pago p/alinhar e balancear o valor R$ 17;227
16;REAL CAR SERVIÇOS AUTOMOTIVOS;Troca de Pneus;piloto;27/09/2003;27/09/2003;eduardo;foi comprado os pneus por irenaldo a R$ 105 cada e pago p/alinhar e balancear.;227
31;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;27/09/2003;27/09/2003;Zê felinto;foi trocado no mesmo dia o filtro de óleo;20.50
7;OFICINA NOSSA SENHORA DA PENHA;serviço de cabeçote;piloto;26/09/2003;27/09/2003;sandro;foi gasto r$ 160 com peças.mão de obra R$100 com emulador de bicos foi gasto r$ 70;330
26;RS-REGINALDO SILVA;diversos onibus;Toinho;29/09/2003;29/09/2003;JEFfERSON;;75
22;RADBAT-PB;Troca de Bateria;Toinho;01/10/2003;01/10/2003;edson 2;;95
2;PROMAC;tampa do reservatorio de agua;Toinho;01/10/2003;01/10/2003;patrickson;;24.50
16;AUTO ELÉTRICA DO GERALDO;troca do tanque do radiador;geraldo;30/09/2003;30/09/2003;eduardo;;80
25;CASA DO ÓLEO SÃO JOSE;troca de óleo;júnior;06/10/2003;06/10/2003;antonio;;243
14;AUTO ELÉTRICA DO GERALDO;troca do tanque do radiador;geraldo;04/10/2003;04/10/2003;tony;;60
11;OFICINA NOSSA SENHORA DA PENHA;serviço de cabeçote;piloto;02/10/2003;02/10/2003;klebio;foi trocado cabeçote completo.comando devido a correia dentada ter quebrado com dez mil de uso.;382
16;JEOKAR AUTO PEÇAS LTDA.;troca de cabos e velas;Toinho;06/10/2003;06/10/2003;eduardo;foi trocado no mesmo dia a correia do alternador;107
10;JEOKAR AUTO PEÇAS LTDA.;troca de pastilha de freio;piloto;07/10/2003;07/10/2003;arley;piloto cobrou 5
de mão de obra.;35
11;OFICINA NOSSA SENHORA DA PENHA;troca da quemalheira do celta;piloto;08/10/2003;08/10/2003;klebio;o valor pago foi correspondente a compra de uma quemalheira100(klebio ficou de pagar R$ 100 reais a irenaldo).escolva no motor de partida 25.mão de obra piloto 60;185
12;REAL CAR SERVIÇOS AUTOMOTIVOS;Troca de Pneus;Toinho;08/10/2003;08/10/2003;marcony;foi colocado dois pneus na dianteira.alinhado.balanceado valor pago 15.valor do pneu 110;0
19;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;10/08/2003;10/08/2003;fabio;;13.50
15;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;10/10/2003;10/10/2003;marcony;;15
12;OFICINA NOSSA SENHORA DA PENHA;troca de pastilha de freio;piloto;10/10/2003;10/10/2003;marcony;;35
17;OFICINA NOSSA SENHORA DA PENHA;Velas;piloto;11/10/2003;11/10/2003;erlano;piloto cobrou r$ 5 de mão de obra.;30
17;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;11/10/2003;11/10/2003;erlano;;13.50
15;PNEUCAR COM DE PNEUS PEÇAS E SERVIÇOS LTDA;alinhamento.balanciamento;Toinho;10/10/2003;10/10/2003;linaldo;foi colocado dois  pneus novos na dianteira valor de cada pneu r$ 110 comprado por irenaldo;238
15;OFICINA NOSSA SENHORA DA PENHA;troca de pastilha de freio;piloto;11/10/2003;11/10/2003;linaldo;piloto cobrou r$ 5 de mão de obra;30
19;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;11/10/2003;11/10/2003;fabio;;0
21;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;11/10/2003;11/10/2003;emmanuel;;18
32;OFICINA NOSSA SENHORA DA PENHA;troca de pastilha de freio;piloto;10/10/2003;10/10/2003;lúcio;;30
7;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;11/10/2003;11/10/2003;sandro;;13.50
16;ECO GÁS LTDA;regulagem do gás;igor;11/10/2003;11/10/2003;eduardo;;15
29;MOTOSHOP VEICULOS E PEÇAS LTDA;peças diversos (motos);Toinho;10/10/2003;10/10/2003;gilberto;foi trocado jogo de tração.óleo.cabo de embreagem.;69.74
13;OFICINA NOSSA SENHORA DA PENHA;troca do sensor veloc.;piloto;20/10/2003;20/10/2003;fia;;120
2;OFICINA NOSSA SENHORA DA PENHA;troca de pastilha de freio;piloto;16/10/2003;17/10/2003;patrickson;foi trocado no mesmo dia uma coifa do lado esquerdo;50
8;OFICINA NOSSA SENHORA DA PENHA;troca de pastilha de freio;piloto;17/10/2003;17/10/2003;rostanda;foi trocado no mesmo dia a coifa do lado esquedo.filtro de ar.;50
20;OFICINA NOSSA SENHORA DA PENHA;troca de junta homoc.;piloto;18/10/2003;18/10/2003;amaury;foi trocado as duas juntas homoc.mão de obra foi cobrado r$30;250
5;OFICINA NOSSA SENHORA DA PENHA;Velas;piloto;16/10/2003;16/10/2003;gutemberg;;30
7;ECO GÁS LTDA;limpeza do redutor;igor;16/10/2003;16/10/2003;sandro;foi feito no mesmo dia limpeza do cilindro.instalação de relé;50
16;ECO GÁS LTDA;instalação de relé;igor;16/10/2003;16/10/2003;eduardo;;20
17;ECO GÁS LTDA;regulagem do gás;igor;16/10/2003;16/10/2003;erlano;;10
22;ECO GÁS LTDA;regulagem do gás;igor;16/10/2003;16/10/2003;edson 2;;10
22;OFICINA NOSSA SENHORA DA PENHA;regulagem das válvulas;piloto;16/10/2003;16/10/2003;edson 2;foi feito no mesmo dia uma solda no escape valor cobrado r$30;60
14;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;18/10/2003;18/10/2003;tony;foi trocado filtro de óleo na mesma data;20.50
2;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;18/10/2003;18/10/2003;patrickson;;13.50
35;ECO GÁS LTDA;reinstalação de equipamento de gás;igor;15/10/2003;15/10/2003;WELLINGTON;;450
34;ECO GÁS LTDA;reinstalação de equipamento de gás;igor;15/10/2003;16/10/2003;WELLINGTON;;400
30;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;23/10/2003;23/10/2003;edson 1;valor pago por óleo foi 14.10.foi trocado tambem o filtro de óleo valor pago 10;14.10
16;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;23/10/2003;23/10/2003;eduardo;valor pago por óleo foi de 14.10;14.10
20;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;23/10/2003;23/10/2003;amaury;valor do óleo foi pago por irenaldo na auto escola;14.10
12;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;25/10/2003;25/10/2003;marcony;valor custo do óleo.filtro aplicado foi Pago por irenaldo na auto escola não teve pag de mão de obra.;19.10
17;OFICINA NOSSA SENHORA DA PENHA;serviço de cabeçote;piloto;24/10/2003;25/10/2003;erlano;valor das peças compradas na parafiat R$ 100 .mão de obra pago em piloto foi 100.limpeza dos bicos custou 40;240
